CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585854571;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002499, 0.024604, 0.999694);1.221054;0.6748486;-0.1;1.4;(0.024931, 0.024831, 0.999381);(-0.030250, 0.024213, 0.999249);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854576;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002624, 0.023240, 0.999727);1.220694;0.6992647;-0.2;1.3;(0.024832, 0.022640, 0.999435);(-0.030357, 0.023575, 0.999261);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854581;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002694, 0.021475, 0.999766);1.220676;0.6806676;-0.2;1.2;(0.024763, 0.020652, 0.999480);(-0.030406, 0.022075, 0.999294);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854586;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002843, 0.020548, 0.999785);1.21711;0.6241951;-0.2;1.2;(0.024724, 0.019789, 0.999498);(-0.030610, 0.021142, 0.999308);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854591;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002826, 0.018677, 0.999822);1.218169;0.511393;-0.2;1.1;(0.024702, 0.017715, 0.999538);(-0.030558, 0.019506, 0.999343);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854596;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002948, 0.016877, 0.999853);1.210955;0.4826562;-0.2;1.0;(0.024740, 0.015594, 0.999572);(-0.030800, 0.018037, 0.999363);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854601;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002965, 0.014658, 0.999888);1.211022;0.4293001;-0.2;0.8;(0.024737, 0.013537, 0.999602);(-0.030822, 0.015724, 0.999401);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854606;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003148, 0.012737, 0.999914);1.202597;0.3872041;-0.2;0.7;(0.024728, 0.011308, 0.999630);(-0.031165, 0.014116, 0.999415);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854611;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003219, 0.010667, 0.999938);1.198668;0.3466082;-0.2;0.6;(0.024709, 0.008835, 0.999656);(-0.031277, 0.012440, 0.999433);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854616;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003367, 0.009037, 0.999954);1.189531;0.3388115;-0.2;0.5;(0.024700, 0.006686, 0.999673);(-0.031571, 0.011299, 0.999438);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854621;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003404, 0.007017, 0.999970);1.186379;0.2794305;-0.2;0.4;(0.024716, 0.004554, 0.999684);(-0.031663, 0.009422, 0.999454);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854626;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003541, 0.005217, 0.999980);1.177111;0.2680254;-0.2;0.3;(0.024744, 0.002530, 0.999691);(-0.032002, 0.007856, 0.999457);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854631;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003592, 0.003273, 0.999988);1.174007;0.2440274;-0.2;0.2;(0.024774, 0.000683, 0.999693);(-0.032154, 0.005858, 0.999466);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854636;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003612, 0.001326, 0.999993);1.174739;0.2565136;-0.2;0.1;(0.024798, -0.000854, 0.999692);(-0.032225, 0.003543, 0.999474);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854641;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003635, -0.000751, 0.999993);1.176334;0.2808792;-0.2;0.0;(0.024797, -0.002508, 0.999689);(-0.032264, 0.001065, 0.999479);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854646;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003661, -0.002711, 0.999990);1.178159;0.3285294;-0.2;-0.2;(0.024774, -0.004106, 0.999685);(-0.032279, -0.001253, 0.999478);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854651;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003661, -0.004862, 0.999982);1.180209;0.3240267;-0.2;-0.3;(0.024748, -0.006127, 0.999675);(-0.032231, -0.003533, 0.999474);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
