sep=;
CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683584674403;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.008454, 0.039720, 0.999175);0.2275764;0;0.5;2.3;(0.013384, 0.039022, 0.999149);(-0.233350, 0.098417, 0.967400);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674408;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007783, 0.038751, 0.999219);0.3442893;0;0.4;2.2;(0.012027, 0.038727, 0.999178);(-0.162504, 0.047309, 0.985573);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674413;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007226, 0.038010, 0.999251);0.4616869;0;0.4;2.2;(0.010316, 0.038489, 0.999206);(-0.118759, 0.022110, 0.992677);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674418;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007153, 0.035702, 0.999337);0.89933;0;0.4;2.0;(0.008125, 0.038080, 0.999242);(-0.049432, 0.014032, 0.998679);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674423;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.006292, 0.035263, 0.999358);2;0;0.4;2.0;(0.005743, 0.037443, 0.999282);(-0.028319, 0.023640, 0.999319);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674428;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005527, 0.034918, 0.999375);2;0;0.3;2.0;(0.003200, 0.036647, 0.999323);(-0.013457, 0.029649, 0.999470);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674433;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.004377, 0.034281, 0.999403);2;0;0.3;2.0;(0.000554, 0.035570, 0.999367);(-0.008617, 0.031725, 0.999460);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674438;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.003137, 0.033696, 0.999427);2;0;0.2;1.9;(-0.002118, 0.034217, 0.999412);(-0.005444, 0.033890, 0.999411);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674443;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.001955, 0.033219, 0.999446);2;0;0.1;1.9;(-0.004800, 0.032703, 0.999454);(-0.002144, 0.036084, 0.999347);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674448;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.001251, 0.032907, 0.999458);2;0;0.1;1.9;(-0.007264, 0.031235, 0.999486);(0.003225, 0.037791, 0.999281);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674453;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.001437, 0.033080, 0.999452);2;0;0.1;1.9;(-0.009414, 0.029681, 0.999515);(0.013058, 0.041886, 0.999037);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674458;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.000287, 0.032809, 0.999462);2;0;0.0;1.9;(-0.010845, 0.028523, 0.999534);(0.007202, 0.041540, 0.999111);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674463;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.000164, 0.032563, 0.999470);2;0;0.0;1.9;(-0.012316, 0.027244, 0.999553);(0.011256, 0.041715, 0.999066);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674468;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001708, 0.032861, 0.999458);2;0;-0.1;1.9;(-0.013504, 0.026126, 0.999567);(0.002297, 0.044760, 0.998995);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674473;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.000727, 0.034437, 0.999407);2;0;0.0;2.0;(-0.007266, 0.029603, 0.999535);(0.005068, 0.043462, 0.999042);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674478;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.000248, 0.034554, 0.999403);2;0;0.0;2.0;(-0.007382, 0.029255, 0.999545);(0.002418, 0.045250, 0.998973);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674483;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.000535, 0.034492, 0.999405);2;0;0.0;2.0;(-0.008565, 0.028410, 0.999560);(0.002016, 0.046172, 0.998932);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674488;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001212, 0.034057, 0.999419);2;0;-0.1;2.0;(-0.009871, 0.027394, 0.999576);(0.003111, 0.044397, 0.999009);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674493;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001561, 0.033432, 0.999440);2;0;-0.1;1.9;(-0.011266, 0.026189, 0.999594);(0.005673, 0.042300, 0.999089);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674498;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001979, 0.032605, 0.999466);2;0;-0.1;1.9;(-0.012578, 0.024944, 0.999610);(0.006828, 0.039893, 0.999181);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674503;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.004455, 0.031333, 0.999499);2;0;-0.3;1.8;(-0.016063, 0.022249, 0.999623);(0.002181, 0.038643, 0.999251);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674508;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.005730, 0.030897, 0.999506);2;0;-0.3;1.8;(-0.016608, 0.020969, 0.999642);(-0.000888, 0.039100, 0.999235);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674513;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.008465, 0.029328, 0.999534);2;0;-0.5;1.7;(-0.017054, 0.019807, 0.999658);(-0.011221, 0.035240, 0.999316);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674518;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.009888, 0.028782, 0.999537);2;0;-0.6;1.6;(-0.017429, 0.018767, 0.999672);(-0.012311, 0.035487, 0.999294);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674523;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.012263, 0.027265, 0.999553);2;0;-0.7;1.6;(-0.017800, 0.017920, 0.999681);(-0.016889, 0.032223, 0.999338);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674528;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.014347, 0.025671, 0.999568);2;0;-0.8;1.5;(-0.018043, 0.016926, 0.999694);(-0.018652, 0.029574, 0.999389);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674533;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(-0.016312, 0.024013, 0.999579);2;0;-0.9;1.4;(-0.018355, 0.016109, 0.999702);(-0.021550, 0.026596, 0.999414);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
