CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684788095764;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114998, 0.100291, 0.988290);0.4880452;1;6.637105;5.794520
1684788095774;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115086, 0.100262, 0.988283);0.4881638;1;6.642215;5.792871
1684788095779;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115184, 0.100230, 0.988275);0.4889976;1;6.647863;5.791096
1684788095784;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115284, 0.100174, 0.988269);0.4913833;1;6.653622;5.787908
1684788095789;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115366, 0.100113, 0.988265);0.4946359;1;6.658360;5.784428
1684788095794;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115409, 0.100041, 0.988267);0.4967393;1;6.660795;5.780307
1684788095799;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115471, 0.100009, 0.988264);0.4986079;1;6.664350;5.778456
1684788095804;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115587, 0.099996, 0.988251);0.5004306;1;6.671054;5.777804
1684788095809;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115394, 0.100263, 0.988247);0.491023;0.9101335;6.660042;5.793163
1684788095819;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.106783, 0.100442, 0.989196);2;0;6.161185;5.797856
1684788095824;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.089031, 0.100651, 0.990930);2;0;5.133994;5.799740
1684788095829;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.070326, 0.100827, 0.992415);2;0;4.053402;5.801190
1684788095834;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.053133, 0.101333, 0.993433);2;0;3.061498;5.824195
1684788095839;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.027898, 0.101437, 0.994451);2;0;1.606954;5.824206
1684788095849;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.010327, 0.101517, 0.994780);2;0;0.594765;5.826822
1684788095854;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001318, 0.101597, 0.994825);2;0;-0.075909;5.831132
1684788095859;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.008675, 0.101679, 0.994779);2;0;-0.499623;5.836088
1684788095864;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.012919, 0.101820, 0.994719);2;0;-0.744119;5.844480
1684788095869;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.015509, 0.101989, 0.994665);2;0;-0.893283;5.854423
1684788095874;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017233, 0.102119, 0.994623);2;0;-0.992600;5.862091
1684788095879;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018279, 0.102258, 0.994590);2;0;-1.052909;5.870171
1684788095889;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018970, 0.102384, 0.994564);2;0;-1.092707;5.877509
1684788095894;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019427, 0.102527, 0.994541);2;0;-1.119076;5.885794
1684788095899;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019876, 0.102684, 0.994516);0.08719607;0;-1.144966;5.894890
1684788095904;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020256, 0.102862, 0.994489);0.08972467;0;-1.166841;5.905201
1684788095909;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020603, 0.103113, 0.994456);0.0896627;0;-1.186869;5.919696
1684788095914;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020964, 0.103376, 0.994421);0.08711629;0;-1.207685;5.934905
1684788095924;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.021187, 0.103656, 0.994388);0.089028;0;-1.220596;5.951095
1684788095929;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.021331, 0.103876, 0.994362);0.08840267;0;-1.228941;5.963750
1684788095934;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.021398, 0.104085, 0.994338);0.08832894;0.3659901;-1.232778;5.975814
1684788095939;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.021297, 0.104257, 0.994322);0.09114655;0.3851861;-1.227032;5.985749
1684788095944;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.021174, 0.104373, 0.994313);0.09253375;0.5006748;-1.219950;5.992381
1684788095949;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020962, 0.104451, 0.994309);0.09584762;1;-1.207733;5.996856
1684788095954;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020690, 0.104505, 0.994309);0.09848551;1;-1.192091;5.999949
1684788095964;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020491, 0.104547, 0.994309);0.09987728;1;-1.180612;6.002313
1684788095969;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020335, 0.104580, 0.994309);0.1010583;1;-1.171605;6.004214
1684788095974;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020225, 0.104577, 0.994311);0.1001079;1;-1.165305;6.004022
1684788095979;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020140, 0.104563, 0.994314);0.09881476;1;-1.160374;6.003213
1684788095984;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020089, 0.104538, 0.994318);0.09722524;1;-1.157407;6.001745
1684788095989;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020103, 0.104511, 0.994321);0.09305346;1;-1.158220;6.000209
1684788095994;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020197, 0.104460, 0.994324);0.0845801;1;-1.163659;5.997308
1684788096004;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020374, 0.104357, 0.994331);0.07036547;1;-1.173841;5.991390
